STATE/UT,Crime head,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Total Male,Total Female,Grand Total
DELHI,3981,102,2,2331,135,1071,125,128,53,25,9,3657,324,3981
GOA,61,2,0,42,3,9,0,4,0,1,0,58,3,61
GOA,12,0,0,10,0,2,0,0,0,0,0,12,0,12
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,54,0,0,6,7,13,7,7,6,4,4,30,24,54
GOA,42,1,1,10,1,14,0,11,2,2,0,38,4,42
GOA,17,0,0,4,2,7,1,2,0,1,0,14,3,17
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,100,0,0,48,11,28,6,3,1,3,0,82,18,100
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,286,3,1,120,24,73,14,27,9,11,4,234,52,286
GUJARAT,647,23,0,406,5,163,11,34,3,2,0,628,19,647
GUJARAT,1939,43,10,1200,48,435,36,142,16,8,1,1828,111,1939
GUJARAT,38,0,0,16,3,12,1,3,3,0,0,31,7,38
GUJARAT,19982,12,12,5686,1624,4997,2048,2879,1684,693,347,14267,5715,19982
GUJARAT,1118,27,0,650,14,314,20,85,2,5,1,1081,37,1118
GUJARAT,117,0,0,80,0,29,0,7,0,1,0,117,0,117
GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,124,1,7,38,17,32,21,3,4,0,1,74,50,124
GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,23965,106,29,8076,1711,5982,2137,3153,1712,709,350,18026,5939,23965
HARYANA,940,44,1,569,16,234,20,46,4,5,1,898,42,940
HARYANA,660,14,0,438,13,138,13,39,4,1,0,630,30,660
HARYANA,481,1,1,157,15,130,40,71,50,12,4,371,110,481
HARYANA,3606,2,0,1355,116,891,193,547,295,150,57,2945,661,3606
HARYANA,698,14,0,446,2,191,3,38,1,3,0,692,6,698
HARYANA,558,6,0,429,3,100,3,16,0,1,0,552,6,558
HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,303,0,1,100,91,58,42,9,1,1,0,168,135,303
HARYANA,10,0,0,0,1,4,5,0,0,0,0,4,6,10
HARYANA,8,0,0,2,0,2,0,4,0,0,0,8,0,8
HARYANA,7264,81,3,3496,257,1748,319,770,355,173,62,6268,996,7264
HIMACHAL PRADESH,259,13,0,151,4,69,6,12,2,2,0,247,12,259
HIMACHAL PRADESH,131,2,0,70,5,36,5,10,2,1,0,119,12,131
HIMACHAL PRADESH,4,0,0,1,0,0,1,0,1,1,0,2,2,4
HIMACHAL PRADESH,505,0,0,94,43,128,72,56,70,25,17,303,202,505
HIMACHAL PRADESH,317,5,0,146,6,106,8,34,1,8,3,299,18,317
HIMACHAL PRADESH,91,0,0,36,0,37,5,7,1,3,2,83,8,91
HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,18,0,0,6,1,5,6,0,0,0,0,11,7,18
HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,1325,20,0,504,59,381,103,119,77,40,22,1064,261,1325
JAMMU & KASHMIR,388,3,0,210,11,123,16,21,3,1,0,358,30,388
JAMMU & KASHMIR,884,5,0,486,18,348,12,14,1,0,0,853,31,884
JAMMU & KASHMIR,23,0,0,8,2,7,3,1,2,0,0,16,7,23
JAMMU & KASHMIR,634,0,0,198,39,184,79,98,31,0,5,480,154,634
JAMMU & KASHMIR,2814,2,1,891,131,1111,130,411,25,102,10,2517,297,2814
JAMMU & KASHMIR,447,0,0,261,2,167,4,13,0,0,0,441,6,447
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,13,0,0,7,0,4,0,2,0,0,0,13,0,13
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,1,0,0,1,0,0,0,0,0,0,0,1,0,1
JAMMU & KASHMIR,5204,10,1,2062,203,1944,244,560,62,103,15,4679,525,5204
JHARKHAND,780,24,0,512,10,186,6,38,4,0,0,760,20,780
JHARKHAND,1000,13,2,519,26,313,17,96,11,3,0,944,56,1000
JHARKHAND,444,0,0,228,24,124,34,16,6,6,6,374,70,444
JHARKHAND,2207,0,1,1114,115,655,115,136,58,6,7,1911,296,2207
JHARKHAND,355,2,0,261,4,80,2,6,0,0,0,349,6,355
JHARKHAND,51,0,0,45,0,6,0,0,0,0,0,51,0,51
JHARKHAND,3,0,0,2,0,1,0,0,0,0,0,3,0,3
JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,20,0,0,3,6,3,3,2,3,0,0,8,12,20
JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,1689,1,1,659,89,529,124,206,62,13,5,1408,281,1689
JHARKHAND,6549,40,4,3343,274,1897,301,500,144,28,18,5808,741,6549
KARNATAKA,842,13,0,437,25,233,29,89,5,10,1,782,60,842
KARNATAKA,1035,4,1,525,17,287,33,127,21,19,1,962,73,1035
KARNATAKA,539,1,0,151,22,140,55,85,63,14,8,391,148,539
KARNATAKA,6317,1,0,1204,311,1917,564,1221,612,320,167,4663,1654,6317
KARNATAKA,3982,2,0,1341,118,1453,195,667,97,88,21,3551,431,3982
KARNATAKA,147,0,0,111,0,33,0,3,0,0,0,147,0,147
KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,1240,0,0,379,329,271,166,47,35,9,4,706,534,1240
KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2578,2,1,534,174,749,327,358,266,101,66,1744,834,2578
KARNATAKA,16680,23,2,4682,996,5083,1369,2597,1099,561,268,12946,3734,16680
KERALA,1259,30,0,578,4,455,15,150,0,27,0,1240,19,1259
KERALA,253,10,0,166,2,54,5,12,3,1,0,243,10,253
KERALA,38,0,0,9,0,20,1,3,4,0,1,32,6,38
KERALA,6923,0,0,1507,277,2845,576,871,451,241,155,5464,1459,6923
KERALA,4167,6,0,1689,6,1719,30,616,13,87,1,4117,50,4167
KERALA,538,4,0,276,0,189,1,60,2,6,0,535,3,538
KERALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,324,0,0,30,75,50,137,12,18,2,0,94,230,324
KERALA,9,0,0,3,0,6,0,0,0,0,0,9,0,9
KERALA,6,0,0,0,0,5,0,1,0,0,0,6,0,6
KERALA,13517,50,0,4258,364,5343,765,1725,491,364,157,11740,1777,13517
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,1,0,0,1,0,0,0,0,0,0,0,1,0,1
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,1,0,0,1,0,0,0,0,0,0,0,1,0,1
MADHYA PRADESH,4822,279,5,2807,52,1239,42,351,12,32,3,4708,114,4822
MADHYA PRADESH,1648,72,1,970,21,405,33,134,2,10,0,1591,57,1648
MADHYA PRADESH,2142,22,3,709,172,530,239,229,153,61,24,1551,591,2142
MADHYA PRADESH,11104,41,31,3431,936,2779,1065,1400,873,354,194,8005,3099,11104
MADHYA PRADESH,8085,223,0,5039,46,2174,21,547,2,33,0,8016,69,8085
MADHYA PRADESH,1056,52,0,734,2,230,3,33,0,2,0,1051,5,1056
MADHYA PRADESH,10,0,0,2,0,5,1,1,0,1,0,9,1,10
MADHYA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,59,0,0,25,5,16,2,11,0,0,0,52,7,59
MADHYA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,321,0,0,97,24,91,29,40,20,16,4,244,77,321
MADHYA PRADESH,29247,689,40,13814,1258,7469,1435,2746,1062,509,225,25227,4020,29247
MAHARASHTRA,2591,104,2,1507,63,612,86,156,42,17,2,2396,195,2591
MAHARASHTRA,1775,33,0,932,88,391,124,155,36,11,5,1522,253,1775
MAHARASHTRA,1141,1,5,332,112,297,127,142,77,31,17,803,338,1141
MAHARASHTRA,27379,47,37,6808,2749,6132,3330,3482,2706,1349,739,17818,9561,27379
MAHARASHTRA,4885,115,0,2514,58,1542,82,462,23,86,3,4719,166,4885
MAHARASHTRA,1548,49,1,896,19,396,22,139,7,17,2,1497,51,1548
MAHARASHTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,1621,0,4,522,271,415,217,100,60,22,10,1059,562,1621
MAHARASHTRA,2,0,0,0,0,1,0,1,0,0,0,2,0,2
MAHARASHTRA,106,0,1,26,3,35,8,18,8,2,5,81,25,106
MAHARASHTRA,41048,349,50,13537,3363,9821,3996,4655,2959,1535,783,29897,11151,41048
MANIPUR,46,0,0,22,2,16,2,4,0,0,0,42,4,46
MANIPUR,101,0,0,62,9,16,2,9,3,0,0,87,14,101
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,21,0,0,6,0,11,1,2,1,0,0,19,2,21
MANIPUR,34,0,0,12,0,13,1,8,0,0,0,33,1,34
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,202,0,0,102,11,56,6,23,4,0,0,181,21,202
MEGHALAYA,182,25,0,89,0,50,1,16,0,1,0,181,1,182
MEGHALAYA,6,0,1,3,0,2,0,0,0,0,0,5,1,6
MEGHALAYA,4,0,0,0,0,2,1,0,1,0,0,2,2,4
MEGHALAYA,14,0,0,6,0,6,2,0,0,0,0,12,2,14
MEGHALAYA,45,2,0,33,0,9,0,1,0,0,0,45,0,45
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,20,0,0,4,4,2,8,0,1,1,0,7,13,20
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,271,27,1,135,4,71,12,17,2,2,0,252,19,271
MIZORAM,122,21,0,43,0,45,0,12,0,1,0,122,0,122
MIZORAM,3,0,0,2,1,0,0,0,0,0,0,2,1,3
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,7,0,0,3,0,4,0,0,0,0,0,7,0,7
MIZORAM,82,1,0,31,0,31,0,19,0,0,0,82,0,82
MIZORAM,1,0,0,0,0,1,0,0,0,0,0,1,0,1
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,215,22,0,79,1,81,0,31,0,1,0,214,1,215
NAGALAND,26,2,0,15,0,5,1,2,0,1,0,25,1,26
NAGALAND,7,0,0,7,0,0,0,0,0,0,0,7,0,7
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,16,0,0,9,0,4,0,3,0,0,0,16,0,16
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,26,0,0,8,13,4,1,0,0,0,0,12,14,26
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,75,2,0,39,13,13,2,5,0,1,0,60,15,75
ODISHA,1666,86,1,959,16,432,30,130,8,4,0,1611,55,1666
ODISHA,1347,12,1,704,49,413,68,93,7,0,0,1222,125,1347
ODISHA,903,0,0,268,64,304,94,107,46,13,7,692,211,903
ODISHA,4699,2,2,1240,370,1506,506,711,252,66,44,3525,1174,4699
ODISHA,6060,18,0,2963,180,2035,156,652,35,19,2,5687,373,6060
ODISHA,376,0,0,251,2,100,5,17,1,0,0,368,8,376
ODISHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,82,0,0,34,19,18,8,3,0,0,0,55,27,82
ODISHA,1,0,0,0,0,1,0,0,0,0,0,1,0,1
ODISHA,2049,0,0,490,106,640,216,374,149,54,20,1558,491,2049
ODISHA,17183,118,4,6909,806,5449,1083,2087,498,156,73,14719,2464,17183
PUDUCHERRY,15,0,0,12,0,3,0,0,0,0,0,15,0,15
PUDUCHERRY,16,0,0,11,0,5,0,0,0,0,0,16,0,16
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,7,0,0,1,0,2,2,1,1,0,0,4,3,7
PUDUCHERRY,7,0,0,3,0,3,0,1,0,0,0,7,0,7
PUDUCHERRY,17,2,0,9,0,5,0,1,0,0,0,17,0,17
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,21,0,0,12,2,5,0,2,0,0,0,19,2,21
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,27,0,0,5,2,5,2,2,8,3,0,15,12,27
PUDUCHERRY,110,2,0,53,4,28,4,7,9,3,0,93,17,110
PUNJAB,895,15,1,436,36,269,44,88,6,0,0,808,87,895
PUNJAB,731,8,0,346,59,198,38,68,14,0,0,620,111,731
PUNJAB,274,0,0,81,23,74,34,44,17,0,1,199,75,274
PUNJAB,2288,1,3,786,177,659,231,294,131,3,3,1743,545,2288
PUNJAB,413,0,0,196,10,153,7,44,2,0,1,393,20,413
PUNJAB,45,0,0,22,0,14,2,7,0,0,0,43,2,45
PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,402,0,0,101,94,93,66,23,25,0,0,217,185,402
PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,5048,24,4,1968,399,1460,422,568,195,3,5,4023,1025,5048
RAJASTHAN,1807,109,0,1026,24,540,9,89,6,4,0,1768,39,1807
RAJASTHAN,1565,68,0,875,37,389,44,132,11,8,1,1472,93,1565
RAJASTHAN,631,1,1,291,15,170,33,56,48,9,7,527,104,631
RAJASTHAN,9949,14,1,3576,323,2899,681,1476,707,187,85,8152,1797,9949
RAJASTHAN,2658,48,0,1554,26,758,38,210,9,13,2,2583,75,2658
RAJASTHAN,20,1,0,10,0,8,0,1,0,0,0,20,0,20
RAJASTHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,349,0,1,103,136,59,36,6,5,3,0,171,178,349
RAJASTHAN,66,3,0,48,2,13,0,0,0,0,0,64,2,66
RAJASTHAN,50,0,0,10,4,23,8,5,0,0,0,38,12,50
RAJASTHAN,17095,244,3,7493,567,4859,849,1975,786,224,95,14795,2300,17095
SIKKIM,29,0,0,15,0,10,0,4,0,0,0,29,0,29
SIKKIM,8,0,0,5,0,3,0,0,0,0,0,8,0,8
SIKKIM,9,0,0,2,0,3,2,1,1,0,0,6,3,9
SIKKIM,6,0,0,2,0,4,0,0,0,0,0,6,0,6
SIKKIM,17,0,0,6,0,5,0,6,0,0,0,17,0,17
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,69,0,0,30,0,25,2,11,1,0,0,66,3,69
TAMIL NADU,962,30,0,568,4,239,25,84,6,5,1,926,36,962
TAMIL NADU,1557,5,0,864,25,429,58,123,38,13,2,1434,123,1557
TAMIL NADU,278,0,0,86,13,81,28,39,25,4,2,210,68,278
TAMIL NADU,4019,0,1,971,323,966,580,554,428,129,67,2620,1399,4019
