STATE,Year,Crime Type,Number
Kerala,2004,MURDER,417
Kerala,2005,MURDER,388
Kerala,2006,MURDER,393
Kerala,2007,MURDER,367
Kerala,2008,MURDER,362
Kerala,2009,MURDER,343
Kerala,2010,MURDER,363
Kerala,2011,MURDER,365
Kerala,2012,MURDER,374
Lakshadweep,2001,MURDER,1
Lakshadweep,2002,MURDER,0
Lakshadweep,2003,MURDER,0
Lakshadweep,2004,MURDER,0
Lakshadweep,2005,MURDER,1
Lakshadweep,2006,MURDER,0
Lakshadweep,2007,MURDER,0
Lakshadweep,2008,MURDER,1
Lakshadweep,2009,MURDER,0
Lakshadweep,2010,MURDER,0
Lakshadweep,2011,MURDER,0
Lakshadweep,2012,MURDER,0
Madhya Pradesh,2001,MURDER,2425
Madhya Pradesh,2002,MURDER,2395
Madhya Pradesh,2003,MURDER,2227
Madhya Pradesh,2004,MURDER,2379
Madhya Pradesh,2005,MURDER,2405
Madhya Pradesh,2006,MURDER,2309
Madhya Pradesh,2007,MURDER,2244
Madhya Pradesh,2008,MURDER,2322
Madhya Pradesh,2009,MURDER,2386
Madhya Pradesh,2010,MURDER,2423
Madhya Pradesh,2011,MURDER,2511
Madhya Pradesh,2012,MURDER,2373
Maharashtra,2001,MURDER,2839
Maharashtra,2002,MURDER,2768
Maharashtra,2003,MURDER,2772
Maharashtra,2004,MURDER,2696
Maharashtra,2005,MURDER,2621
Maharashtra,2006,MURDER,2656
Maharashtra,2007,MURDER,2693
Maharashtra,2008,MURDER,2795
Maharashtra,2009,MURDER,2653
Maharashtra,2010,MURDER,2744
Maharashtra,2011,MURDER,2818
Maharashtra,2012,MURDER,2712
Manipur,2001,MURDER,209
Manipur,2002,MURDER,165
Manipur,2003,MURDER,150
Manipur,2004,MURDER,159
Manipur,2005,MURDER,256
Manipur,2006,MURDER,205
Manipur,2007,MURDER,240
Manipur,2008,MURDER,187
Manipur,2009,MURDER,131
Manipur,2010,MURDER,92
Manipur,2011,MURDER,78
Manipur,2012,MURDER,83
Meghalaya,2001,MURDER,164
Meghalaya,2002,MURDER,167
Meghalaya,2003,MURDER,175
Meghalaya,2004,MURDER,124
Meghalaya,2005,MURDER,134
Meghalaya,2006,MURDER,157
Meghalaya,2007,MURDER,114
Meghalaya,2008,MURDER,126
Meghalaya,2009,MURDER,128
Meghalaya,2010,MURDER,134
Meghalaya,2011,MURDER,170
Meghalaya,2012,MURDER,137
Mizoram,2001,MURDER,31
Mizoram,2002,MURDER,29
Mizoram,2003,MURDER,46
Mizoram,2004,MURDER,35
Mizoram,2005,MURDER,24
Mizoram,2006,MURDER,25
Mizoram,2007,MURDER,43
Mizoram,2008,MURDER,35
Mizoram,2009,MURDER,31
Mizoram,2010,MURDER,48
Mizoram,2011,MURDER,26
Mizoram,2012,MURDER,30
Nagaland,2001,MURDER,101
Nagaland,2002,MURDER,100
Nagaland,2003,MURDER,91
Nagaland,2004,MURDER,70
Nagaland,2005,MURDER,87
Nagaland,2006,MURDER,123
Nagaland,2007,MURDER,111
Nagaland,2008,MURDER,143
Nagaland,2009,MURDER,46
Nagaland,2010,MURDER,45
Nagaland,2011,MURDER,46
Nagaland,2012,MURDER,75
Odisha,2001,MURDER,987
Odisha,2002,MURDER,1075
Odisha,2003,MURDER,1044
Odisha,2004,MURDER,1066
Odisha,2005,MURDER,1079
Odisha,2006,MURDER,1159
Odisha,2007,MURDER,1210
Odisha,2008,MURDER,1250
Odisha,2009,MURDER,1250
Odisha,2010,MURDER,1308
Odisha,2011,MURDER,1477
Odisha,2012,MURDER,1548
Puducherry,2001,MURDER,25
Puducherry,2002,MURDER,29
Puducherry,2003,MURDER,29
Puducherry,2004,MURDER,25
Puducherry,2005,MURDER,19
Puducherry,2006,MURDER,30
Puducherry,2007,MURDER,34
Puducherry,2008,MURDER,35
Puducherry,2009,MURDER,37
Puducherry,2010,MURDER,33
Puducherry,2011,MURDER,32
Puducherry,2012,MURDER,29
Punjab,2001,MURDER,738
Punjab,2002,MURDER,733
Punjab,2003,MURDER,731
Punjab,2004,MURDER,775
Punjab,2005,MURDER,713
Punjab,2006,MURDER,817
Punjab,2007,MURDER,760
Punjab,2008,MURDER,769
Punjab,2009,MURDER,853
Punjab,2010,MURDER,907
Punjab,2011,MURDER,842
Punjab,2012,MURDER,855
Rajasthan,2001,MURDER,1259
Rajasthan,2002,MURDER,1276
Rajasthan,2003,MURDER,1262
Rajasthan,2004,MURDER,1279
Rajasthan,2005,MURDER,1221
Rajasthan,2006,MURDER,1209
Rajasthan,2007,MURDER,1303
Rajasthan,2008,MURDER,1297
Rajasthan,2009,MURDER,1395
Rajasthan,2010,MURDER,1421
Rajasthan,2011,MURDER,1461
Rajasthan,2012,MURDER,1461
Sikkim,2001,MURDER,19
Sikkim,2002,MURDER,13
Sikkim,2003,MURDER,14
Sikkim,2004,MURDER,16
Sikkim,2005,MURDER,8
Sikkim,2006,MURDER,21
Sikkim,2007,MURDER,9
Sikkim,2008,MURDER,9
Sikkim,2009,MURDER,19
Sikkim,2010,MURDER,17
Sikkim,2011,MURDER,14
Sikkim,2012,MURDER,7
Tamil Nadu,2001,MURDER,1662
Tamil Nadu,2002,MURDER,1723
Tamil Nadu,2003,MURDER,1591
Tamil Nadu,2004,MURDER,1479
Tamil Nadu,2005,MURDER,1440
Tamil Nadu,2006,MURDER,1363
Tamil Nadu,2007,MURDER,1633
Tamil Nadu,2008,MURDER,1759
Tamil Nadu,2009,MURDER,1776
Tamil Nadu,2010,MURDER,1875
Tamil Nadu,2011,MURDER,1877
Tamil Nadu,2012,MURDER,1949
Tripura,2001,MURDER,240
Tripura,2002,MURDER,201
Tripura,2003,MURDER,254
Tripura,2004,MURDER,189
Tripura,2005,MURDER,121
Tripura,2006,MURDER,154
Tripura,2007,MURDER,138
Tripura,2008,MURDER,155
Tripura,2009,MURDER,133
Tripura,2010,MURDER,150
Tripura,2011,MURDER,163
Tripura,2012,MURDER,124
Uttar Pradesh,2001,MURDER,7601
Uttar Pradesh,2002,MURDER,6825
Uttar Pradesh,2003,MURDER,5284
Uttar Pradesh,2004,MURDER,6126
Uttar Pradesh,2005,MURDER,5711
Uttar Pradesh,2006,MURDER,5480
Uttar Pradesh,2007,MURDER,5000
Uttar Pradesh,2008,MURDER,4564
Uttar Pradesh,2009,MURDER,4534
Uttar Pradesh,2010,MURDER,4401
Uttar Pradesh,2011,MURDER,4951
Uttar Pradesh,2012,MURDER,4966
Uttarakhand,2001,MURDER,316
Uttarakhand,2002,MURDER,292
Uttarakhand,2003,MURDER,268
Uttarakhand,2004,MURDER,262
Uttarakhand,2005,MURDER,279
Uttarakhand,2006,MURDER,274
Uttarakhand,2007,MURDER,268
Uttarakhand,2008,MURDER,223
Uttarakhand,2009,MURDER,195
Uttarakhand,2010,MURDER,176
Uttarakhand,2011,MURDER,178
Uttarakhand,2012,MURDER,217
West Bengal,2001,MURDER,1594
West Bengal,2002,MURDER,1444
West Bengal,2003,MURDER,1425
West Bengal,2004,MURDER,1425
West Bengal,2005,MURDER,1453
West Bengal,2006,MURDER,1425
West Bengal,2007,MURDER,1652
West Bengal,2008,MURDER,1811
West Bengal,2009,MURDER,2068
West Bengal,2010,MURDER,2398
West Bengal,2011,MURDER,2109
West Bengal,2012,MURDER,2252
A & N Islands,2001,ATTEMPT TO MURDER,0
A & N Islands,2002,ATTEMPT TO MURDER,3
A & N Islands,2003,ATTEMPT TO MURDER,4
A & N Islands,2004,ATTEMPT TO MURDER,1
A & N Islands,2005,ATTEMPT TO MURDER,3
A & N Islands,2006,ATTEMPT TO MURDER,4
A & N Islands,2007,ATTEMPT TO MURDER,19
A & N Islands,2008,ATTEMPT TO MURDER,11
A & N Islands,2009,ATTEMPT TO MURDER,4
A & N Islands,2010,ATTEMPT TO MURDER,7
A & N Islands,2011,ATTEMPT TO MURDER,6
A & N Islands,2012,ATTEMPT TO MURDER,3
Andhra Pradesh,2001,ATTEMPT TO MURDER,1555
Andhra Pradesh,2002,ATTEMPT TO MURDER,1644
Andhra Pradesh,2003,ATTEMPT TO MURDER,1678
Andhra Pradesh,2004,ATTEMPT TO MURDER,1908
Andhra Pradesh,2005,ATTEMPT TO MURDER,1724
Andhra Pradesh,2006,ATTEMPT TO MURDER,1860
Andhra Pradesh,2007,ATTEMPT TO MURDER,1885
Andhra Pradesh,2008,ATTEMPT TO MURDER,1942
Andhra Pradesh,2009,ATTEMPT TO MURDER,1859
Andhra Pradesh,2010,ATTEMPT TO MURDER,1953
Andhra Pradesh,2011,ATTEMPT TO MURDER,2229
Andhra Pradesh,2012,ATTEMPT TO MURDER,2183
Arunachal Pradesh,2001,ATTEMPT TO MURDER,53
Arunachal Pradesh,2002,ATTEMPT TO MURDER,38
Arunachal Pradesh,2003,ATTEMPT TO MURDER,20
Arunachal Pradesh,2004,ATTEMPT TO MURDER,45
Arunachal Pradesh,2005,ATTEMPT TO MURDER,37
Arunachal Pradesh,2006,ATTEMPT TO MURDER,33
Arunachal Pradesh,2007,ATTEMPT TO MURDER,29
Arunachal Pradesh,2008,ATTEMPT TO MURDER,37
Arunachal Pradesh,2009,ATTEMPT TO MURDER,33
Arunachal Pradesh,2010,ATTEMPT TO MURDER,34
Arunachal Pradesh,2011,ATTEMPT TO MURDER,29
Arunachal Pradesh,2012,ATTEMPT TO MURDER,29
Assam,2001,ATTEMPT TO MURDER,481
Assam,2002,ATTEMPT TO MURDER,479
Assam,2003,ATTEMPT TO MURDER,485
Assam,2004,ATTEMPT TO MURDER,410
Assam,2005,ATTEMPT TO MURDER,503
Assam,2006,ATTEMPT TO MURDER,414
Assam,2007,ATTEMPT TO MURDER,451
Assam,2008,ATTEMPT TO MURDER,417
Assam,2009,ATTEMPT TO MURDER,417
Assam,2010,ATTEMPT TO MURDER,431
Assam,2011,ATTEMPT TO MURDER,504
Assam,2012,ATTEMPT TO MURDER,670
Bihar,2001,ATTEMPT TO MURDER,3419
Bihar,2002,ATTEMPT TO MURDER,3526
Bihar,2003,ATTEMPT TO MURDER,3540
Bihar,2004,ATTEMPT TO MURDER,2995
Bihar,2005,ATTEMPT TO MURDER,3307
Bihar,2006,ATTEMPT TO MURDER,3303
Bihar,2007,ATTEMPT TO MURDER,3113
Bihar,2008,ATTEMPT TO MURDER,2954
Bihar,2009,ATTEMPT TO MURDER,3068
Bihar,2010,ATTEMPT TO MURDER,2915
Bihar,2011,ATTEMPT TO MURDER,3327
Bihar,2012,ATTEMPT TO MURDER,5452
Chandigarh,2001,ATTEMPT TO MURDER,10
Chandigarh,2002,ATTEMPT TO MURDER,35
Chandigarh,2003,ATTEMPT TO MURDER,15
Chandigarh,2004,ATTEMPT TO MURDER,19
Chandigarh,2005,ATTEMPT TO MURDER,15
Chandigarh,2006,ATTEMPT TO MURDER,21
Chandigarh,2007,ATTEMPT TO MURDER,26
Chandigarh,2008,ATTEMPT TO MURDER,28
Chandigarh,2009,ATTEMPT TO MURDER,18
Chandigarh,2010,ATTEMPT TO MURDER,30
Chandigarh,2011,ATTEMPT TO MURDER,40
Chandigarh,2012,ATTEMPT TO MURDER,44
Chhattisgarh,2001,ATTEMPT TO MURDER,529
Chhattisgarh,2002,ATTEMPT TO MURDER,453
Chhattisgarh,2003,ATTEMPT TO MURDER,513
Chhattisgarh,2004,ATTEMPT TO MURDER,619
Chhattisgarh,2005,ATTEMPT TO MURDER,660
Chhattisgarh,2006,ATTEMPT TO MURDER,825
Chhattisgarh,2007,ATTEMPT TO MURDER,747
Chhattisgarh,2008,ATTEMPT TO MURDER,736
Chhattisgarh,2009,ATTEMPT TO MURDER,732
Chhattisgarh,2010,ATTEMPT TO MURDER,756
Chhattisgarh,2011,ATTEMPT TO MURDER,747
Chhattisgarh,2012,ATTEMPT TO MURDER,593
D & N Haveli,2001,ATTEMPT TO MURDER,2
D & N Haveli,2002,ATTEMPT TO MURDER,2
D & N Haveli,2003,ATTEMPT TO MURDER,5
D & N Haveli,2004,ATTEMPT TO MURDER,4
D & N Haveli,2005,ATTEMPT TO MURDER,5
D & N Haveli,2006,ATTEMPT TO MURDER,0
D & N Haveli,2007,ATTEMPT TO MURDER,2
D & N Haveli,2008,ATTEMPT TO MURDER,2
D & N Haveli,2009,ATTEMPT TO MURDER,5
D & N Haveli,2010,ATTEMPT TO MURDER,0
D & N Haveli,2011,ATTEMPT TO MURDER,2
D & N Haveli,2012,ATTEMPT TO MURDER,2
Daman & Diu,2001,ATTEMPT TO MURDER,5
Daman & Diu,2002,ATTEMPT TO MURDER,3
Daman & Diu,2003,ATTEMPT TO MURDER,3
Daman & Diu,2004,ATTEMPT TO MURDER,1
Daman & Diu,2005,ATTEMPT TO MURDER,2
Daman & Diu,2006,ATTEMPT TO MURDER,3
Daman & Diu,2007,ATTEMPT TO MURDER,7
Daman & Diu,2008,ATTEMPT TO MURDER,2
Daman & Diu,2009,ATTEMPT TO MURDER,4
Daman & Diu,2010,ATTEMPT TO MURDER,2
Daman & Diu,2011,ATTEMPT TO MURDER,1
Daman & Diu,2012,ATTEMPT TO MURDER,5
Goa,2001,ATTEMPT TO MURDER,30
Goa,2002,ATTEMPT TO MURDER,20
Goa,2003,ATTEMPT TO MURDER,25
Goa,2004,ATTEMPT TO MURDER,6
Goa,2005,ATTEMPT TO MURDER,15
Goa,2006,ATTEMPT TO MURDER,17
Goa,2007,ATTEMPT TO MURDER,23
Goa,2008,ATTEMPT TO MURDER,25
Goa,2009,ATTEMPT TO MURDER,24
Goa,2010,ATTEMPT TO MURDER,27
Goa,2011,ATTEMPT TO MURDER,22
Goa,2012,ATTEMPT TO MURDER,35
Gujarat,2001,ATTEMPT TO MURDER,537
Gujarat,2002,ATTEMPT TO MURDER,759
Gujarat,2003,ATTEMPT TO MURDER,478
Gujarat,2004,ATTEMPT TO MURDER,469
Gujarat,2005,ATTEMPT TO MURDER,452
Gujarat,2006,ATTEMPT TO MURDER,471
Gujarat,2007,ATTEMPT TO MURDER,494
Gujarat,2008,ATTEMPT TO MURDER,487
Gujarat,2009,ATTEMPT TO MURDER,468
Gujarat,2010,ATTEMPT TO MURDER,462
Gujarat,2011,ATTEMPT TO MURDER,478
Gujarat,2012,ATTEMPT TO MURDER,557
Haryana,2001,ATTEMPT TO MURDER,467
Haryana,2002,ATTEMPT TO MURDER,487
Haryana,2003,ATTEMPT TO MURDER,446
Haryana,2004,ATTEMPT TO MURDER,441
Haryana,2005,ATTEMPT TO MURDER,513
Haryana,2006,ATTEMPT TO MURDER,585
Haryana,2007,ATTEMPT TO MURDER,592
Haryana,2008,ATTEMPT TO MURDER,616
Haryana,2009,ATTEMPT TO MURDER,690
Haryana,2010,ATTEMPT TO MURDER,836
Haryana,2011,ATTEMPT TO MURDER,851
Haryana,2012,ATTEMPT TO MURDER,910
Himachal Pradesh,2001,ATTEMPT TO MURDER,75
Himachal Pradesh,2002,ATTEMPT TO MURDER,86
Himachal Pradesh,2003,ATTEMPT TO MURDER,74
Himachal Pradesh,2004,ATTEMPT TO MURDER,77
Himachal Pradesh,2005,ATTEMPT TO MURDER,79
Himachal Pradesh,2006,ATTEMPT TO MURDER,78
Himachal Pradesh,2007,ATTEMPT TO MURDER,57
Himachal Pradesh,2008,ATTEMPT TO MURDER,59
Himachal Pradesh,2009,ATTEMPT TO MURDER,73
Himachal Pradesh,2010,ATTEMPT TO MURDER,74
Himachal Pradesh,2011,ATTEMPT TO MURDER,50
Himachal Pradesh,2012,ATTEMPT TO MURDER,53
Jammu & Kashmir,2001,ATTEMPT TO MURDER,1474
Jammu & Kashmir,2002,ATTEMPT TO MURDER,1240
Jammu & Kashmir,2003,ATTEMPT TO MURDER,1216
Jammu & Kashmir,2004,ATTEMPT TO MURDER,1112
Jammu & Kashmir,2005,ATTEMPT TO MURDER,905
Jammu & Kashmir,2006,ATTEMPT TO MURDER,854
Jammu & Kashmir,2007,ATTEMPT TO MURDER,669
Jammu & Kashmir,2008,ATTEMPT TO MURDER,570
Jammu & Kashmir,2009,ATTEMPT TO MURDER,547
Jammu & Kashmir,2010,ATTEMPT TO MURDER,711
Jammu & Kashmir,2011,ATTEMPT TO MURDER,494
Jammu & Kashmir,2012,ATTEMPT TO MURDER,511
Jharkhand,2001,ATTEMPT TO MURDER,866
Jharkhand,2002,ATTEMPT TO MURDER,1143
Jharkhand,2003,ATTEMPT TO MURDER,957
Jharkhand,2004,ATTEMPT TO MURDER,1143
Jharkhand,2005,ATTEMPT TO MURDER,1084
Jharkhand,2006,ATTEMPT TO MURDER,1078
Jharkhand,2007,ATTEMPT TO MURDER,1076
Jharkhand,2008,ATTEMPT TO MURDER,1061
Jharkhand,2009,ATTEMPT TO MURDER,1274
Jharkhand,2010,ATTEMPT TO MURDER,1028
Jharkhand,2011,ATTEMPT TO MURDER,718
Jharkhand,2012,ATTEMPT TO MURDER,842
Karnataka,2001,ATTEMPT TO MURDER,1475
Karnataka,2002,ATTEMPT TO MURDER,1576
Karnataka,2003,ATTEMPT TO MURDER,1241
Karnataka,2004,ATTEMPT TO MURDER,1387
Karnataka,2005,ATTEMPT TO MURDER,1406
Karnataka,2006,ATTEMPT TO MURDER,1484
Karnataka,2007,ATTEMPT TO MURDER,1251
Karnataka,2008,ATTEMPT TO MURDER,1475
Karnataka,2009,ATTEMPT TO MURDER,1607
Karnataka,2010,ATTEMPT TO MURDER,1850
Karnataka,2011,ATTEMPT TO MURDER,1837
Karnataka,2012,ATTEMPT TO MURDER,1923
Kerala,2001,ATTEMPT TO MURDER,615
Kerala,2002,ATTEMPT TO MURDER,562
Kerala,2003,ATTEMPT TO MURDER,448
Kerala,2004,ATTEMPT TO MURDER,391
Kerala,2005,ATTEMPT TO MURDER,341
Kerala,2006,ATTEMPT TO MURDER,347
Kerala,2007,ATTEMPT TO MURDER,402
Kerala,2008,ATTEMPT TO MURDER,434
Kerala,2009,ATTEMPT TO MURDER,408
Kerala,2010,ATTEMPT TO MURDER,361
Kerala,2011,ATTEMPT TO MURDER,521
Kerala,2012,ATTEMPT TO MURDER,497
Lakshadweep,2001,ATTEMPT TO MURDER,0
Lakshadweep,2002,ATTEMPT TO MURDER,0
Lakshadweep,2003,ATTEMPT TO MURDER,0
Lakshadweep,2004,ATTEMPT TO MURDER,0
Lakshadweep,2005,ATTEMPT TO MURDER,0
Lakshadweep,2006,ATTEMPT TO MURDER,2
Lakshadweep,2007,ATTEMPT TO MURDER,2
Lakshadweep,2008,ATTEMPT TO MURDER,0
Lakshadweep,2009,ATTEMPT TO MURDER,1
Lakshadweep,2010,ATTEMPT TO MURDER,0
Lakshadweep,2011,ATTEMPT TO MURDER,1
Lakshadweep,2012,ATTEMPT TO MURDER,0
Madhya Pradesh,2001,ATTEMPT TO MURDER,2870
Madhya Pradesh,2002,ATTEMPT TO MURDER,2864
Madhya Pradesh,2003,ATTEMPT TO MURDER,2413
Madhya Pradesh,2004,ATTEMPT TO MURDER,2563
Madhya Pradesh,2005,ATTEMPT TO MURDER,2512
Madhya Pradesh,2006,ATTEMPT TO MURDER,2370
Madhya Pradesh,2007,ATTEMPT TO MURDER,2423
Madhya Pradesh,2008,ATTEMPT TO MURDER,2282
Madhya Pradesh,2009,ATTEMPT TO MURDER,2212
Madhya Pradesh,2010,ATTEMPT TO MURDER,2277
Madhya Pradesh,2011,ATTEMPT TO MURDER,2340
Madhya Pradesh,2012,ATTEMPT TO MURDER,2332
Maharashtra,2001,ATTEMPT TO MURDER,1454
Maharashtra,2002,ATTEMPT TO MURDER,1435
Maharashtra,2003,ATTEMPT TO MURDER,1412
Maharashtra,2004,ATTEMPT TO MURDER,1463
Maharashtra,2005,ATTEMPT TO MURDER,1614
Maharashtra,2006,ATTEMPT TO MURDER,1680
Maharashtra,2007,ATTEMPT TO MURDER,1615
Maharashtra,2008,ATTEMPT TO MURDER,1837
Maharashtra,2009,ATTEMPT TO MURDER,1880
Maharashtra,2010,ATTEMPT TO MURDER,1926
Maharashtra,2011,ATTEMPT TO MURDER,2105
Maharashtra,2012,ATTEMPT TO MURDER,2168
Manipur,2001,ATTEMPT TO MURDER,168
Manipur,2002,ATTEMPT TO MURDER,160
Manipur,2003,ATTEMPT TO MURDER,199
Manipur,2004,ATTEMPT TO MURDER,227
Manipur,2005,ATTEMPT TO MURDER,252
Manipur,2006,ATTEMPT TO MURDER,265
Manipur,2007,ATTEMPT TO MURDER,377
Manipur,2008,ATTEMPT TO MURDER,498
Manipur,2009,ATTEMPT TO MURDER,478
Manipur,2010,ATTEMPT TO MURDER,258
Manipur,2011,ATTEMPT TO MURDER,245
Manipur,2012,ATTEMPT TO MURDER,409
Meghalaya,2001,ATTEMPT TO MURDER,47
Meghalaya,2002,ATTEMPT TO MURDER,58
Meghalaya,2003,ATTEMPT TO MURDER,60
Meghalaya,2004,ATTEMPT TO MURDER,42
Meghalaya,2005,ATTEMPT TO MURDER,35
Meghalaya,2006,ATTEMPT TO MURDER,42
